EB_level,final_action_dates,visa_bulletin_date,visa_wait_time
1,2022-11-08,2025-05-01,2.4777549623545516
4,,2025-05-01,
2,2020-10-01,2025-05-01,4.5804243668720055
3,2020-11-01,2025-05-01,4.4955509924709105
3,2020-11-01,2025-04-01,4.413415468856948
4,,2025-04-01,
1,2022-11-08,2025-04-01,2.3956194387405887
2,2020-10-01,2025-04-01,4.498288843258043
2,2020-05-08,2025-03-01,4.813141683778234
3,2020-08-01,2025-03-01,4.5804243668720055
4,2019-08-01,2025-03-01,5.582477754962355
1,2022-11-08,2025-03-01,2.3107460643394937
4,2021-01-01,2025-02-01,4.084873374401095
3,2020-07-01,2025-02-01,4.588637919233402
2,2020-04-22,2025-02-01,4.780287474332649
1,2022-11-08,2025-02-01,2.2340862422997945
2,2020-04-22,2025-01-01,4.695414099931554
3,2020-06-01,2025-01-01,4.58590006844627
4,2021-01-01,2025-01-01,4.0
1,2022-11-08,2025-01-01,2.1492128678986995
1,2022-11-08,2024-12-01,2.0643394934976045
2,2020-03-22,2024-12-01,4.695414099931554
3,2020-04-01,2024-12-01,4.6680355920602326
4,2021-01-01,2024-12-01,3.915126625598905
4,2021-01-01,2024-11-01,3.8329911019849416
3,2020-04-01,2024-11-01,4.58590006844627
1,2022-11-08,2024-11-01,1.9822039698836413
2,2020-03-22,2024-11-01,4.61327857631759
1,2022-11-08,2024-10-01,1.8973305954825461
2,2020-03-22,2024-10-01,4.528405201916495
3,2020-04-01,2024-10-01,4.501026694045175
4,2021-01-01,2024-10-01,3.7481177275838466
1,2022-11-01,2024-09-01,1.834360027378508
2,2020-03-01,2024-09-01,4.503764544832307
3,2020-09-01,2024-09-01,4.0
4,2021-01-01,2024-09-01,3.6659822039698837
3,2020-09-01,2024-08-01,3.915126625598905
4,2021-01-01,2024-08-01,3.5811088295687883
2,2020-03-01,2024-08-01,4.418891170431212
1,2022-11-01,2024-08-01,1.7494866529774127
1,2022-11-01,2024-07-01,1.6646132785763177
2,2020-03-01,2024-07-01,4.334017796030117
3,2020-09-01,2024-07-01,3.8302532511978096
4,2021-01-01,2024-07-01,3.4962354551676933
1,2022-09-01,2024-06-01,1.7494866529774127
2,2020-02-01,2024-06-01,4.331279945242985
3,2020-09-01,2024-06-01,3.7481177275838466
4,2020-11-01,2024-06-01,3.5811088295687883
1,2022-09-01,2024-05-01,1.6646132785763177
2,2020-02-01,2024-05-01,4.246406570841889
3,2020-09-01,2024-05-01,3.6632443531827517
4,2020-11-01,2024-05-01,3.4962354551676933
3,2020-09-01,2024-04-01,3.5811088295687883
4,2020-11-01,2024-04-01,3.4140999315537304
2,2020-02-01,2024-04-01,4.164271047227926
1,2022-09-01,2024-04-01,1.5824777549623545
