EB_level,final_action_dates,visa_bulletin_date,visa_wait_time
1,2022-02-01,2024-12-01,2.830937713894593
3,2012-11-08,2024-12-01,12.062970568104038
4,2021-01-01,2024-12-01,3.915126625598905
2,2012-08-01,2024-12-01,12.334017796030116
1,2022-02-01,2024-11-01,2.74880219028063
2,2012-07-15,2024-11-01,12.2984257357974
3,2012-11-01,2024-11-01,12.0
4,2021-01-01,2024-11-01,3.8329911019849416
1,2022-02-01,2024-10-01,2.6639288158795345
2,2012-07-15,2024-10-01,12.213552361396303
3,2012-11-01,2024-10-01,11.915126625598905
4,2021-01-01,2024-10-01,3.7481177275838466
3,2012-10-22,2024-09-01,11.860369609856264
4,2021-01-01,2024-09-01,3.6659822039698837
2,2012-07-15,2024-09-01,12.131416837782341
1,2022-02-01,2024-09-01,2.5817932922655715
1,2022-02-01,2024-08-01,2.4969199178644765
2,2012-07-15,2024-08-01,12.046543463381246
3,2012-10-22,2024-08-01,11.775496235455167
4,2021-01-01,2024-08-01,3.5811088295687883
1,2022-02-01,2024-07-01,2.412046543463381
2,2012-06-15,2024-07-01,12.043805612594113
3,2012-09-22,2024-07-01,11.772758384668036
4,2021-01-01,2024-07-01,3.4962354551676933
1,2021-03-01,2024-06-01,3.252566735112936
2,2012-04-15,2024-06-01,12.128678986995208
3,2012-08-22,2024-06-01,11.775496235455167
4,2020-11-01,2024-06-01,3.5811088295687883
3,2012-08-15,2024-05-01,11.709787816563997
4,2020-11-01,2024-05-01,3.4962354551676933
2,2012-04-15,2024-05-01,12.043805612594113
1,2021-03-01,2024-05-01,3.167693360711841
2,2012-04-15,2024-04-01,11.961670088980151
3,2012-08-15,2024-04-01,11.627652292950033
4,2020-11-01,2024-04-01,3.4140999315537304
1,2021-03-01,2024-04-01,3.0855578370978782
1,2020-10-01,2024-03-01,3.4140999315537304
2,2012-03-01,2024-03-01,12.0
3,2012-07-01,2024-03-01,11.665982203969884
4,2019-12-01,2024-03-01,4.249144421629021
4,2019-05-15,2024-02-01,4.717316906228611
1,2020-09-01,2024-02-01,3.4168377823408624
2,2012-03-01,2024-02-01,11.92060232717317
3,2012-07-01,2024-02-01,11.586584531143053
3,2012-06-01,2024-01-01,11.58384668035592
4,2019-05-15,2024-01-01,4.632443531827516
1,2020-09-01,2024-01-01,3.3319644079397674
2,2012-03-01,2024-01-01,11.835728952772074
1,2017-01-01,2023-12-01,6.913073237508556
2,2012-01-01,2023-12-01,11.915126625598905
3,2012-05-01,2023-12-01,11.58384668035592
4,2019-01-01,2023-12-01,4.914442162902122
1,2017-01-01,2023-11-01,6.830937713894593
2,2012-01-01,2023-11-01,11.832991101984941
3,2012-05-01,2023-11-01,11.501711156741958
4,2019-01-01,2023-11-01,4.832306639288158
3,2012-05-01,2023-10-01,11.416837782340862
4,2019-01-01,2023-10-01,4.747433264887063
2,2012-01-01,2023-10-01,11.748117727583846
1,2017-01-01,2023-10-01,6.746064339493498
2,2011-01-01,2023-09-01,12.6652977412731
3,2009-01-01,2023-09-01,14.663928815879535
4,2018-09-01,2023-09-01,4.999315537303217
1,2012-01-01,2023-09-01,11.665982203969884
1,2012-01-01,2023-08-01,11.58110882956879
2,2011-01-01,2023-08-01,12.580424366872005
3,2009-01-01,2023-08-01,14.57905544147844
4,2018-09-01,2023-08-01,4.914442162902122
1,2022-02-01,2023-07-01,1.4099931553730323
2,2011-01-01,2023-07-01,12.49555099247091
3,2009-01-01,2023-07-01,14.494182067077345
4,2018-09-01,2023-07-01,4.829568788501026
3,2012-06-15,2023-06-01,10.959616700889802
4,2018-09-01,2023-06-01,4.747433264887063
1,2022-02-01,2023-06-01,1.3278576317590691
2,2011-01-01,2023-06-01,12.413415468856947
1,2022-02-01,2023-05-01,1.242984257357974
2,2011-01-01,2023-05-01,12.328542094455852
3,2012-06-15,2023-05-01,10.874743326488707
4,2018-09-01,2023-05-01,4.662559890485968
1,2022-02-01,2023-04-01,1.160848733744011
2,2011-01-01,2023-04-01,12.24640657084189
3,2012-06-15,2023-04-01,10.792607802874743
4,2018-09-01,2023-04-01,4.5804243668720055
4,2021-03-01,2023-03-01,1.998631074606434
3,2012-06-15,2023-03-01,10.707734428473648
2,2011-10-08,2023-03-01,11.394934976043805
1,2022-02-01,2023-03-01,1.0759753593429158
2,2011-10-08,2023-02-01,11.318275154004107
3,2012-06-15,2023-02-01,10.63107460643395
4,2022-06-22,2023-02-01,0.6132785763175906
1,2022-02-01,2023-02-01,0.999315537303217
1,2022-02-01,2023-01-01,0.9144421629021219
2,2011-10-08,2023-01-01,11.233401779603012
3,2012-06-15,2023-01-01,10.546201232032855
4,2022-06-22,2023-01-01,0.5284052019164955
3,2012-06-15,2022-12-01,10.461327857631758
4,2022-06-22,2022-12-01,0.44353182751540043
2,2011-10-08,2022-12-01,11.148528405201917
1,2022-12-01,2022-12-01,0.0
1,2022-11-01,2022-11-01,0.0
2,2012-04-01,2022-11-01,10.584531143052704
3,2012-04-01,2022-11-01,10.584531143052704
4,2022-11-01,2022-11-01,0.0
1,2022-10-01,2022-10-01,0.0
2,2012-04-01,2022-10-01,10.499657768651609
3,2012-04-01,2022-10-01,10.499657768651609
